airline_code;airline;airline_row;aircraft_id;aircraft_type;source_sheet;source_row
BA;British Airways;British Asia Airways;BOE-747-400;Boeing 747-400;BA;29
BA;British Airways;British Airways;BOE-757-200;Boeing 757-200;BA;30
BA;British Airways;British Airways;BOE-757-200-WL;Boeing 757-200 (Winglets);BA;31
BA;British Airways;British Airways;BOE-767-200;Boeing 767-200;BA;32
BA;British Airways;British Airways;BOE-767-300;Boeing 767-300;BA;33
BA;British Airways;British Airways;BOE-777-200;Boeing 777-200;BA;34
BA;British Airways;British Airways;BOE-777-300ER;Boeing 777-300ER;BA;35
BA;British Airways;British Airways;BOE-787-8;Boeing 787-8 Dreamliner;BA;36
BA;British Airways;British Airways;BOE-787-9;Boeing 787-9 Dreamliner;BA;37
BA;British Airways;British Airways;BOE-787-10;Boeing 787-10 Dreamliner;BA;38
BA;British Airways;British Airways;BOM-CRJ200;Bombardier CRJ-200;BA;39
BA;British Airways;British Airways;BOM-CRJ700;Bombardier CRJ-700;BA;40
BA;British Airways;British Airways;BAE-146-100;British Aerospace 146-100;BA;41
BA;British Airways;British Airways;BAE-146-200;British Aerospace 146-200;BA;42
BA;British Airways;British Airways;BAE-146-300;British Aerospace 146-300;BA;43
BA;British Airways;British Airways;BAE-ATP;British Aerospace BAe ATP;BA;44
BA;British Airways;British Airways;BAE-Jetstream-31;British Aerospace Jetstream 31;BA;45
BA;British Airways;British Airways;BAE-Jetstream-32;British Aerospace Jetstream 32;BA;46
BA;British Airways;British Airways;BAE-Jetstream-41;British Aerospace Jetstream 41;BA;47
BA;British Airways;British Airways;BRN-BN2;Britten-Norman BN-2 Islander;BA;48
BA;British Airways;British Airways;DHC-DHC6;De Havilland Canada DHC-6-300 Twin Otter;BA;49
BA;British Airways;British Airways;DHC-DHC7;De Havilland Canada DHC-7-100;BA;50
BA;British Airways;British Airways;DHC-DHC8-100;De Havilland Canada DHC-8-100;BA;51
BA;British Airways;British Airways;DHC-DHC8-300;De Havilland Canada DHC-8-300;BA;52
BA;British Airways;British Airways;DOR-Do328-100;Dornier 328-100;BA;53
BA;British Airways;British Airways;DOR-Do328-300;Dornier 328JET-300;BA;54
BA;British Airways;BEA;DOU-C47;Douglas C-47 Dakota;BA;55
BA;British Airways;British Airways;EMB-EMB120;Embraer EMB-120 Brasilia;BA;56
BA;British Airways;British Airways;EMB-ERJ145;Embraer ERJ-145;BA;57
BA;British Airways;British Airways;EMB-E170;Embraer ERJ-170;BA;58
BA;British Airways;British Airways;EMB-E190;Embraer ERJ-190;BA;59
BA;British Airways;British Airways;FOK-F100;Fokker 100;BA;60
BA;British Airways;British Airways;HAW-Trident-1;Hawker Siddeley HS-121 Trident 1;BA;61
BA;British Airways;BEA;HAW-Trident-2;Hawker Siddeley HS-121 Trident 2;BA;62
BA;British Airways;BEA;HAW-Trident-3;Hawker Siddeley HS-121 Trident 3;BA;63
BA;British Airways;British Airways;LOC-L1011-100;Lockheed L-1011 TriStar 1/100/200;BA;64
BA;British Airways;British Airways;LOC-L1011-500;Lockheed L-1011 TriStar 500;BA;65
BA;British Airways;British Airways;MCD-DC10-30;McDonnell Douglas DC-10-30;BA;66
BA;British Airways;British Airways;SAB-340;Saab 340;BA;67
BA;British Airways;British Airways;SAB-2000;Saab 2000;BA;68
BA;British Airways;British Airways;SHO-360;Shorts 360;BA;69
BA;British Airways;British Airways;VIC-Vanguard-953;Vickers Vanguard;BA;70
BOA;BOAC;BOAC;ARW-AW27;Armstrong Whitworth A.W.27;BOAC;4
BOA;BOAC;BOAC;AVR-691;Avro 691 Lancastrian;BOAC;5
BOA;BOAC;BOAC;AVR-688;Avro  688/689 Tudor;BOAC;6
BOA;BOAC;BOAC;AVR-685;Avro 685 York;BOAC;7
BOA;BOAC;BOAC;BOE-314;Boeing 314 Clipper;BOAC;8
BOA;BOAC;BOAC;BOE-377;Boeing 377 Stratocruiser;BOAC;9
BOA;BOAC;BOAC;BOE-707-300;Boeing 707-320;BOAC;10
BOA;BOAC;BOAC;BOE-747-100;Boeing 747-100;BOAC;11
BOA;BOAC;BOAC;BRI-Britannia-312;Bristol 175 Britannia 312;BOAC;12
BOA;BOAC;BOAC;CAN-C4;Canadair C-4 Argonaut (North Star);BOAC;13
BOA;BOAC;BOAC;DHV-DH91;De Havilland DH.91 Albatross;BOAC;14
BOA;BOAC;BOAC;DHV-DH95;De Havilland DH.95 Flamingo;BOAC;15
BOA;BOAC;BOAC;DHV-DH106-1;De Havilland DH.106 Comet 1;BOAC;16
BOA;BOAC;BOAC;DHV-DH106-4;De Havilland DH.106 Comet 4;BOAC;17
BOA;BOAC;BOAC;VIC-VC10;BAC Vickers VC-10;BOAC;18
BOA;BOAC;BOAC;VIC-VC10-SUPER;BAC Vickers VC-10 Super;BOAC;19
BOA;BOAC;BOAC;DOU-DC3;Douglas DC-3;BOAC;20
BOA;BOAC;BOAC;DOU-DC7-C;Douglas DC-7C;BOAC;21
BOA;BOAC;BOAC;FOW-FW200;Focke-Wulf Fw 200;BOAC;22
BOA;BOAC;BOAC;HPR-HP81;Handley Page Hermes IV;BOAC;23
BOA;BOAC;BOAC;LOC-L049;Lockheed L-049 Constallation;BOAC;24
BOA;BOAC;BOAC;LOC-L18;Lockheed Model 18 Lodestar;BOAC;25
BOA;BOAC;BOAC;SHO-S23;Short S.23 Empire;BOAC;26
BOA;BOAC;BOAC;SHO-S26;Short S.26;BOAC;27
BOA;BOAC;BOAC;SHO-S45;Short S.45 Solent;BOAC;28
DHL;DHL;DHL;ATR42-300F;ATR 42-300(F);DHL;4
DHL;DHL;DHL;ATR72-500F;ATR 72-500(F);DHL;5
DHL;DHL;DHL;AIB-A300-B4F;Airbus A300B4(F);DHL;6
