model_id;manufacturer;airline_code;airline;airline_row;aircraft_id;aircraft_type;registration;livery;parent_livery;Zusatzinfo;aircraft_name;livery_note;extra_info;model_extra;special_note;Shop;Shop_url;Preis;Versandkosten;Eigenfluege;Postkarte;postkarte_info;postkarte_url;Preis_Postkarte;Foto;logo_id;vorhanden;angekommen;bestellt_am;source_sheet;source_row
OS009;JC Wings;OS;Austrian;Austrian;BOE-777-200;Boeing 777-200;OE-LPD;AUA-2003-BLUEBELLY;;N:Spirit of Austria;Spirit of Austria;;;;;MW-Moba;https://mw-moba.de/produkt-kategorie/1400/;49,5;5,5;;I:Bemalung nicht ganz exakt | U:https://jjpostcards.com/de/ansichtskarten/42987-austrian-b777.html;Bemalung nicht ganz exakt;https://jjpostcards.com/de/ansichtskarten/42987-austrian-b777.html;1,35;https://www.planespotters.net/photo/1084147/oe-lpd-austrian-airlines-boeing-777-2z9er;OS_AUA;Wahr;;;AUA;22
OS017;JC Wings;OS;Austrian;Austrian;BOE-787-9;Boeing 787-9 Dreamliner;OE-LPM;AUA-2018-NEW;;I:Flaps down | N:Schönbrunn Palace;Schönbrunn Palace;;Flaps down;;;Kleinanzeigen Dan Segal;;47;5,22;;U:https://jjpostcards.com/de/suche?controller=search&s=OE-LPM;;https://jjpostcards.com/de/suche?controller=search&s=OE-LPM;1,35;https://www.planespotters.net/photo/1644019/oe-lpm-austrian-airlines-boeing-787-9-dreamliner;OS_AUA;Wahr;2025-06-16;;AUA;23
OS008;Gemini Jets;OS;Austrian;Austrian Arrows;DHC-DHC8-400;De Havilland Canada DHC-8-400;OE-LGI;AUA-2003-BLUEBELLY;;I:Austrian Arrows | N:Eisenstadt;Eisenstadt;;Austrian Arrows;;;Ebay arniestrains-2;;95,01;;;I:andere Kennung | U:https://jjpostcards.com/de/ansichtskarten/19569-austrian-arrows-dhc-8.html;andere Kennung;https://jjpostcards.com/de/ansichtskarten/19569-austrian-arrows-dhc-8.html;1,85;https://www.planespotters.net/photo/215733/oe-lgi-austrian-arrows-bombardier-dhc-8-402q-dash-8;OS_ARR;Wahr;;;AUA;25
OS013;Aeroclassics;OS;Austrian;Austrian;MCD-DC9-30;Douglas DC-9-30;OE-LDA;AUA-1980-REDARROW;;N:Niederösterreich;Niederösterreich;;;;;Ebay airman3;;117,22;;;U:https://jjpostcards.com/de/ansichtskarten/22566-austrian-dc-9.html;;https://jjpostcards.com/de/ansichtskarten/22566-austrian-dc-9.html;1,35;https://www.planespotters.net/photo/415265/oe-lda-austrian-airlines-mcdonnell-douglas-dc-9-32;OS_AUA;Wahr;;;AUA;28
OS014;Aeroclassics;OS;Austrian;Austrian;MCD-DC9-50;Douglas DC-9-50;OE-LDL;AUA-1980-REDARROW;;N:Linz;Linz;;;;;https://www.avworld.ca/;;65;15,44;;U:https://jjpostcards.com/de/ansichtskarten/40694-Austrian-DC-9.html;;https://jjpostcards.com/de/ansichtskarten/40694-Austrian-DC-9.html;1,35;https://www.planespotters.net/photo/491499/oe-ldl-austrian-airlines-mcdonnell-douglas-dc-9-51;OS_AUA;Wahr;;;AUA;29
OS019;JC Wings;OS;Austrian;Tyrolean Airways;FOK-F70;Fokker 70;OE-LFG;AUA-2003-STARALLIANCE-LOGOSTRIP;AUA-2003-STARALLIANCE;I:Tyrolean Airways | L:Star Alliance;;Star Alliance;Tyrolean Airways;;;Kleinanzeigen Steffi Lang;;49;6;;U:https://jjpostcards.com/de/ansichtskarten/18360-tyroleanstar-alliance-fokker-70.html;;https://jjpostcards.com/de/ansichtskarten/18360-tyroleanstar-alliance-fokker-70.html;0,85;https://www.planespotters.net/photo/1369982/oe-lfg-tyrolean-airways-fokker-70-f28-mark-0070;VO_TYR;Wahr;2025-07-02;;AUA;32
OS003;JC Wings;OS;Austrian;Austrian Arrows;FOK-F100;Fokker 100;OE-LVK;AUA-2008-FOOTBALL;AUA-2003-BLUEBELLY;I:Austrian Arrows | L:Fussballverbindet.at;;Fussballverbindet.at;Austrian Arrows;;;Willhaben;;30;;;I:OE-LVH;OE-LVH;;0,85;https://www.planespotters.net/photo/067309/oe-lvk-austrian-arrows-fokker-100-f28-mark-0100;OS_ARR;Wahr;;;AUA;33
OS012;Aeroclassics;OS;Austrian;Austrian;HAW-HS748;Hawker-Siddeley HS-748;OE-LHT;AUA-1960-CLASSIC;;N:A. Bruckner;A. Bruckner;;;;;Ebay aerosmith102;;105,89;;;U:https://jjpostcards.com/de/ansichtskarten/8685-austrian-hs-748.html;;https://jjpostcards.com/de/ansichtskarten/8685-austrian-hs-748.html;0,85;https://www.planespotters.net/photo/990494/oe-lht-austrian-airlines-hawker-siddeley-hs-748;OS_AUA;Wahr;;;AUA;35
OS006;Aeroclassics;OS;Austrian;Austrian;SUD-Caravelle-VIR;Sud Aviation SE 210 Caravelle VI-R;OE-LCA;AUA-1960-CLASSIC;;N:Wien;Wien;;;;;Ebay nozaman;;110,58;;;U:https://jjpostcards.com/de/ansichtskarten/25888-austrian-caravelle.html;;https://jjpostcards.com/de/ansichtskarten/25888-austrian-caravelle.html;1,35;https://www.planespotters.net/photo/768976/oe-lca-austrian-airlines-sud-aviation-se-210-caravelle-vi-r;OS_AUA;Wahr;;;AUA;38
OS020;Aeroclassics;OS;Austrian;Austrian;VIC-Viscount-800;Vickers Viscount 837;OE-LAM;AUA-1959-CHEATLINE;;N:Ludwig v. Beethoven;Ludwig v. Beethoven;;;;;Aviationmegastore;https://www.aviationmegastore.com/de/modelle/vickers-viscount-800-austrian-oe-lam-aero-classics-ac411459-217204.html;49,54;13,49;;I:andere Kennung | U:https://jjpostcards.com/de/ansichtskarten/28570-austrian-viscount.html;andere Kennung;https://jjpostcards.com/de/ansichtskarten/28570-austrian-viscount.html;1,35;https://abpic.co.uk/pictures/registration/OE-LAM;OS_AUA;Wahr;2026-01-16;;AUA;42
